Location;3213700;034138;2220.00;
Location;3213701;025108;207.00;
Location;3213702;025454;1174.98;
Location;3213703;030951;576.00;
Maint.;3213704;006849;195.00;
Maint.;3213705;028932;252.90;
Location;3213706;029680;840.00;
Maint.;3213707;029261;107.70;
Maint.;3213708;031118;293.10;
Maint.;3213709;008190;8985.60;
Location;3213710;034107;798.00;
Maint.;3213711;031092;276.00;
Maint.;3213712;021169;2019.60;
Maint.;3213713;005919;443.70;
Maint.;3213714;030248;1209.45;
Maint.;3213715;012624;5508.00;
Maint.;3213716;014510;357.00;
Maint.;3213717;016959;9850.77;
Maint.;3213718;032943;590.40;
Maint.;3213719;009354;279.00;
Maint.;3213720;009014;357.00;
Maint.;3213721;029260;215.40;
Maint.;3213722;016235;450.00;
Maint.;3213723;020635;732.00;
Maint.;3213724;017310;1525.05;
Maint.;3213725;016874;729.00;
Maint.;3213726;010092;4455.00;
Maint.;3213727;010673;342.00;
Location;3213728;018158;791.70;
Maint.;3213729;027947;329.10;
Location;3213730;010552;657.00;
Location;3213731;015237;477.00;
Maint.;3213732;011258;1134.00;
Maint.;3213733;026629;327.60;
Maint.;3213734;018158;440.10;
Maint.;3213735;025327;74.70;
Maint.;3213736;017219;1441.80;
Maint.;3213737;014805;78.00;
Maint.;3213738;011739;750.00;
Maint.;3213739;006057;290.55;
Maint.;3213740;014805;330.60;
Location;3213741;002154;444.00;
Maint.;3213742;023046;116.70;
Maint.;3213743;024835;1140.00;
Maint.;3213744;024892;202.80;
Maint.;3213745;024863;50.70;
Maint.;3213746;013811;669.60;
Maint.;3213747;021996;107.70;
Maint.;3213748;023141;323.10;
Maint.;3213749;021997;430.80;
Maint.;3213750;023145;215.40;
Maint.;3213751;023012;126.00;
Maint.;3213752;000154;246.00;
Maint.;3213753;024474;246.00;
Maint.;3213754;000351;246.00;
Maint.;3213755;007345;505.50;
Maint.;3213756;017424;342.00;
Maint.;3213757;013109;432.00;
Maint.;3213758;023358;264.00;
Maint.;3213759;012602;1499.91;
Maint.;3213760;033497;369.00;
Maint.;3213761;018158;594.00;
Maint.;3213762;022035;510.00;
Maint.;3213763;014805;1464.15;
Maint.;3213764;017137;468.00;
Maint.;3213765;011731;126.00;
Maint.;3213766;018917;51.00;
Maint.;3213767;018328;198.99;
Maint.;3213768;015205;237.00;
Maint.;3213769;009753;1077.00;
Maint.;3213770;006774;228.00;
Maint.;3213771;013172;439.20;
Maint.;3213772;009354;311.91;
Maint.;3213773;007449;402.00;
Maint.;3213774;015059;297.00;
Maint.;3213775;032718;309.00;
